image_id,acquisition_date,role
2016-05-04__bonirob_2016-05-04-10-05-47_1_frame17,2016-05-04,cross_date_confirmation
2016-05-04__bonirob_2016-05-04-10-05-47_1_frame18,2016-05-04,cross_date_confirmation
2016-05-04__bonirob_2016-05-04-10-05-47_1_frame19,2016-05-04,cross_date_confirmation
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame2,2016-05-06,cross_date_confirmation
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame3,2016-05-06,cross_date_confirmation
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame4,2016-05-06,cross_date_confirmation
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame5,2016-05-06,cross_date_confirmation
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame6,2016-05-06,cross_date_confirmation
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame7,2016-05-06,cross_date_confirmation
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame8,2016-05-06,cross_date_confirmation
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame9,2016-05-06,cross_date_confirmation
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame10,2016-05-06,cross_date_confirmation
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame11,2016-05-06,cross_date_confirmation
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame12,2016-05-06,cross_date_confirmation
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame13,2016-05-06,cross_date_confirmation
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame14,2016-05-06,cross_date_confirmation
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame15,2016-05-06,cross_date_confirmation
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame16,2016-05-06,cross_date_confirmation
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame17,2016-05-06,cross_date_confirmation
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame18,2016-05-06,cross_date_confirmation
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame19,2016-05-06,cross_date_confirmation
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame20,2016-05-06,cross_date_confirmation
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame21,2016-05-06,cross_date_confirmation
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame2,2016-05-09,cross_date_confirmation
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame3,2016-05-09,cross_date_confirmation
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame4,2016-05-09,cross_date_confirmation
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame5,2016-05-09,cross_date_confirmation
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame6,2016-05-09,cross_date_confirmation
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame7,2016-05-09,cross_date_confirmation
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame8,2016-05-09,cross_date_confirmation
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame9,2016-05-09,cross_date_confirmation
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame10,2016-05-09,cross_date_confirmation
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame11,2016-05-09,cross_date_confirmation
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame12,2016-05-09,cross_date_confirmation
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame13,2016-05-09,cross_date_confirmation
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame14,2016-05-09,cross_date_confirmation
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame15,2016-05-09,cross_date_confirmation
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame16,2016-05-09,cross_date_confirmation
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame17,2016-05-09,cross_date_confirmation
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame18,2016-05-09,cross_date_confirmation
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame19,2016-05-09,cross_date_confirmation
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame20,2016-05-09,cross_date_confirmation
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame21,2016-05-09,cross_date_confirmation
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame2,2016-05-11,cross_date_confirmation
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame3,2016-05-11,cross_date_confirmation
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame4,2016-05-11,cross_date_confirmation
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame5,2016-05-11,cross_date_confirmation
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame6,2016-05-11,cross_date_confirmation
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame7,2016-05-11,cross_date_confirmation
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame8,2016-05-11,cross_date_confirmation
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame9,2016-05-11,cross_date_confirmation
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame10,2016-05-11,cross_date_confirmation
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame11,2016-05-11,cross_date_confirmation
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame12,2016-05-11,cross_date_confirmation
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame13,2016-05-11,cross_date_confirmation
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame14,2016-05-11,cross_date_confirmation
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame15,2016-05-11,cross_date_confirmation
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame16,2016-05-11,cross_date_confirmation
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame17,2016-05-11,cross_date_confirmation
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame18,2016-05-11,cross_date_confirmation
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame19,2016-05-11,cross_date_confirmation
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame20,2016-05-11,cross_date_confirmation
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame21,2016-05-11,cross_date_confirmation
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame0,2016-05-13,cross_date_confirmation
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame1,2016-05-13,cross_date_confirmation
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame2,2016-05-13,cross_date_confirmation
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame3,2016-05-13,cross_date_confirmation
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame4,2016-05-13,cross_date_confirmation
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame5,2016-05-13,cross_date_confirmation
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame6,2016-05-13,cross_date_confirmation
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame7,2016-05-13,cross_date_confirmation
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame8,2016-05-13,cross_date_confirmation
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame9,2016-05-13,cross_date_confirmation
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame10,2016-05-13,cross_date_confirmation
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame11,2016-05-13,cross_date_confirmation
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame12,2016-05-13,cross_date_confirmation
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame13,2016-05-13,cross_date_confirmation
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame14,2016-05-13,cross_date_confirmation
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame15,2016-05-13,cross_date_confirmation
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame16,2016-05-13,cross_date_confirmation
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame17,2016-05-13,cross_date_confirmation
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame18,2016-05-13,cross_date_confirmation
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame19,2016-05-13,cross_date_confirmation
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame2,2016-05-18,cross_date_confirmation
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame3,2016-05-18,cross_date_confirmation
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame4,2016-05-18,cross_date_confirmation
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame5,2016-05-18,cross_date_confirmation
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame6,2016-05-18,cross_date_confirmation
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame7,2016-05-18,cross_date_confirmation
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame8,2016-05-18,cross_date_confirmation
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame9,2016-05-18,cross_date_confirmation
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame10,2016-05-18,cross_date_confirmation
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame11,2016-05-18,cross_date_confirmation
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame12,2016-05-18,cross_date_confirmation
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame13,2016-05-18,cross_date_confirmation
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame14,2016-05-18,cross_date_confirmation
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame15,2016-05-18,cross_date_confirmation
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame16,2016-05-18,cross_date_confirmation
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame17,2016-05-18,cross_date_confirmation
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame18,2016-05-18,cross_date_confirmation
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame19,2016-05-18,cross_date_confirmation
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame20,2016-05-18,cross_date_confirmation
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame21,2016-05-18,cross_date_confirmation
2016-05-27___2016-05-27-10-26-48_5_frame23,2016-05-27,cross_date_confirmation
2016-05-27___2016-05-27-10-26-48_5_frame24,2016-05-27,cross_date_confirmation
2016-05-27___2016-05-27-10-26-48_5_frame25,2016-05-27,cross_date_confirmation
2016-05-27___2016-05-27-10-26-48_5_frame26,2016-05-27,cross_date_confirmation
2016-05-27___2016-05-27-10-26-48_5_frame27,2016-05-27,cross_date_confirmation
2016-05-27___2016-05-27-10-26-48_5_frame28,2016-05-27,cross_date_confirmation
2016-05-27___2016-05-27-10-26-48_5_frame29,2016-05-27,cross_date_confirmation
2016-05-27___2016-05-27-10-26-48_5_frame30,2016-05-27,cross_date_confirmation
2016-05-27___2016-05-27-10-26-48_5_frame31,2016-05-27,cross_date_confirmation
2016-05-27___2016-05-27-10-26-48_5_frame32,2016-05-27,cross_date_confirmation
2016-05-27___2016-05-27-10-26-48_5_frame33,2016-05-27,cross_date_confirmation
2016-05-27___2016-05-27-10-26-48_5_frame34,2016-05-27,cross_date_confirmation
2016-05-27___2016-05-27-10-26-48_5_frame35,2016-05-27,cross_date_confirmation
2016-05-27___2016-05-27-10-26-48_5_frame36,2016-05-27,cross_date_confirmation
2016-05-27___2016-05-27-10-26-48_5_frame37,2016-05-27,cross_date_confirmation
2016-05-27___2016-05-27-10-26-48_5_frame38,2016-05-27,cross_date_confirmation
2016-05-27___2016-05-27-10-26-48_5_frame39,2016-05-27,cross_date_confirmation
2016-05-27___2016-05-27-10-26-48_5_frame40,2016-05-27,cross_date_confirmation
2016-05-27___2016-05-27-10-26-48_5_frame41,2016-05-27,cross_date_confirmation
2016-05-27___2016-05-27-10-26-48_5_frame42,2016-05-27,cross_date_confirmation
