image_id,acquisition_date,generalization_role,date_specific_generalization_claim_supported,sequence_id,frame_index
2016-05-02__bonirob_2016-05-02-12-21-51_1_frame7,2016-05-02,cross_date,true,bonirob_2016-05-02-12-21-51_1,7
2016-05-02__bonirob_2016-05-02-12-21-51_1_frame8,2016-05-02,cross_date,true,bonirob_2016-05-02-12-21-51_1,8
2016-05-02__bonirob_2016-05-02-12-21-51_1_frame9,2016-05-02,cross_date,true,bonirob_2016-05-02-12-21-51_1,9
2016-05-02__bonirob_2016-05-02-12-21-51_1_frame10,2016-05-02,cross_date,true,bonirob_2016-05-02-12-21-51_1,10
2016-05-02__bonirob_2016-05-02-12-21-51_1_frame11,2016-05-02,cross_date,true,bonirob_2016-05-02-12-21-51_1,11
2016-05-02__bonirob_2016-05-02-12-21-51_1_frame12,2016-05-02,cross_date,true,bonirob_2016-05-02-12-21-51_1,12
2016-05-02__bonirob_2016-05-02-12-21-51_1_frame13,2016-05-02,cross_date,true,bonirob_2016-05-02-12-21-51_1,13
2016-05-02__bonirob_2016-05-02-12-21-51_1_frame14,2016-05-02,cross_date,true,bonirob_2016-05-02-12-21-51_1,14
2016-05-02__bonirob_2016-05-02-12-21-51_1_frame15,2016-05-02,cross_date,true,bonirob_2016-05-02-12-21-51_1,15
2016-05-02__bonirob_2016-05-02-12-21-51_1_frame16,2016-05-02,cross_date,true,bonirob_2016-05-02-12-21-51_1,16
2016-05-02__bonirob_2016-05-02-12-21-51_1_frame17,2016-05-02,cross_date,true,bonirob_2016-05-02-12-21-51_1,17
2016-05-02__bonirob_2016-05-02-12-21-51_1_frame18,2016-05-02,cross_date,true,bonirob_2016-05-02-12-21-51_1,18
2016-05-02__bonirob_2016-05-02-12-21-51_1_frame19,2016-05-02,cross_date,true,bonirob_2016-05-02-12-21-51_1,19
2016-05-04__bonirob_2016-05-04-10-05-47_1_frame0,2016-05-04,cross_date,true,bonirob_2016-05-04-10-05-47_1,0
2016-05-04__bonirob_2016-05-04-10-05-47_1_frame1,2016-05-04,cross_date,true,bonirob_2016-05-04-10-05-47_1,1
2016-05-04__bonirob_2016-05-04-10-05-47_1_frame2,2016-05-04,cross_date,true,bonirob_2016-05-04-10-05-47_1,2
2016-05-04__bonirob_2016-05-04-10-05-47_1_frame3,2016-05-04,cross_date,true,bonirob_2016-05-04-10-05-47_1,3
2016-05-04__bonirob_2016-05-04-10-05-47_1_frame4,2016-05-04,cross_date,true,bonirob_2016-05-04-10-05-47_1,4
2016-05-04__bonirob_2016-05-04-10-05-47_1_frame5,2016-05-04,cross_date,true,bonirob_2016-05-04-10-05-47_1,5
2016-05-04__bonirob_2016-05-04-10-05-47_1_frame6,2016-05-04,cross_date,true,bonirob_2016-05-04-10-05-47_1,6
2016-05-04__bonirob_2016-05-04-10-05-47_1_frame7,2016-05-04,cross_date,true,bonirob_2016-05-04-10-05-47_1,7
2016-05-04__bonirob_2016-05-04-10-05-47_1_frame8,2016-05-04,cross_date,true,bonirob_2016-05-04-10-05-47_1,8
2016-05-04__bonirob_2016-05-04-10-05-47_1_frame9,2016-05-04,cross_date,true,bonirob_2016-05-04-10-05-47_1,9
2016-05-04__bonirob_2016-05-04-10-05-47_1_frame10,2016-05-04,cross_date,true,bonirob_2016-05-04-10-05-47_1,10
2016-05-04__bonirob_2016-05-04-10-05-47_1_frame11,2016-05-04,cross_date,true,bonirob_2016-05-04-10-05-47_1,11
2016-05-04__bonirob_2016-05-04-10-05-47_1_frame12,2016-05-04,cross_date,true,bonirob_2016-05-04-10-05-47_1,12
2016-05-04__bonirob_2016-05-04-10-05-47_1_frame13,2016-05-04,cross_date,true,bonirob_2016-05-04-10-05-47_1,13
2016-05-04__bonirob_2016-05-04-10-05-47_1_frame14,2016-05-04,cross_date,true,bonirob_2016-05-04-10-05-47_1,14
2016-05-04__bonirob_2016-05-04-10-05-47_1_frame15,2016-05-04,cross_date,true,bonirob_2016-05-04-10-05-47_1,15
2016-05-04__bonirob_2016-05-04-10-05-47_1_frame16,2016-05-04,cross_date,true,bonirob_2016-05-04-10-05-47_1,16
2016-05-04__bonirob_2016-05-04-10-05-47_1_frame17,2016-05-04,cross_date,true,bonirob_2016-05-04-10-05-47_1,17
2016-05-04__bonirob_2016-05-04-10-05-47_1_frame18,2016-05-04,cross_date,true,bonirob_2016-05-04-10-05-47_1,18
2016-05-04__bonirob_2016-05-04-10-05-47_1_frame19,2016-05-04,cross_date,true,bonirob_2016-05-04-10-05-47_1,19
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame2,2016-05-06,cross_date,true,bonirob_2016-05-06-11-21-29_10,2
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame3,2016-05-06,cross_date,true,bonirob_2016-05-06-11-21-29_10,3
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame4,2016-05-06,cross_date,true,bonirob_2016-05-06-11-21-29_10,4
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame5,2016-05-06,cross_date,true,bonirob_2016-05-06-11-21-29_10,5
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame6,2016-05-06,cross_date,true,bonirob_2016-05-06-11-21-29_10,6
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame7,2016-05-06,cross_date,true,bonirob_2016-05-06-11-21-29_10,7
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame8,2016-05-06,cross_date,true,bonirob_2016-05-06-11-21-29_10,8
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame9,2016-05-06,cross_date,true,bonirob_2016-05-06-11-21-29_10,9
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame10,2016-05-06,cross_date,true,bonirob_2016-05-06-11-21-29_10,10
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame11,2016-05-06,cross_date,true,bonirob_2016-05-06-11-21-29_10,11
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame12,2016-05-06,cross_date,true,bonirob_2016-05-06-11-21-29_10,12
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame13,2016-05-06,cross_date,true,bonirob_2016-05-06-11-21-29_10,13
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame14,2016-05-06,cross_date,true,bonirob_2016-05-06-11-21-29_10,14
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame15,2016-05-06,cross_date,true,bonirob_2016-05-06-11-21-29_10,15
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame16,2016-05-06,cross_date,true,bonirob_2016-05-06-11-21-29_10,16
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame17,2016-05-06,cross_date,true,bonirob_2016-05-06-11-21-29_10,17
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame18,2016-05-06,cross_date,true,bonirob_2016-05-06-11-21-29_10,18
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame19,2016-05-06,cross_date,true,bonirob_2016-05-06-11-21-29_10,19
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame20,2016-05-06,cross_date,true,bonirob_2016-05-06-11-21-29_10,20
2016-05-06__bonirob_2016-05-06-11-21-29_10_frame21,2016-05-06,cross_date,true,bonirob_2016-05-06-11-21-29_10,21
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame2,2016-05-09,cross_date,true,bonirob_2016-05-09-10-49-56_6,2
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame3,2016-05-09,cross_date,true,bonirob_2016-05-09-10-49-56_6,3
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame4,2016-05-09,cross_date,true,bonirob_2016-05-09-10-49-56_6,4
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame5,2016-05-09,cross_date,true,bonirob_2016-05-09-10-49-56_6,5
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame6,2016-05-09,cross_date,true,bonirob_2016-05-09-10-49-56_6,6
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame7,2016-05-09,cross_date,true,bonirob_2016-05-09-10-49-56_6,7
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame8,2016-05-09,cross_date,true,bonirob_2016-05-09-10-49-56_6,8
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame9,2016-05-09,cross_date,true,bonirob_2016-05-09-10-49-56_6,9
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame10,2016-05-09,cross_date,true,bonirob_2016-05-09-10-49-56_6,10
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame11,2016-05-09,cross_date,true,bonirob_2016-05-09-10-49-56_6,11
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame12,2016-05-09,cross_date,true,bonirob_2016-05-09-10-49-56_6,12
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame13,2016-05-09,cross_date,true,bonirob_2016-05-09-10-49-56_6,13
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame14,2016-05-09,cross_date,true,bonirob_2016-05-09-10-49-56_6,14
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame15,2016-05-09,cross_date,true,bonirob_2016-05-09-10-49-56_6,15
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame16,2016-05-09,cross_date,true,bonirob_2016-05-09-10-49-56_6,16
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame17,2016-05-09,cross_date,true,bonirob_2016-05-09-10-49-56_6,17
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame18,2016-05-09,cross_date,true,bonirob_2016-05-09-10-49-56_6,18
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame19,2016-05-09,cross_date,true,bonirob_2016-05-09-10-49-56_6,19
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame20,2016-05-09,cross_date,true,bonirob_2016-05-09-10-49-56_6,20
2016-05-09__bonirob_2016-05-09-10-49-56_6_frame21,2016-05-09,cross_date,true,bonirob_2016-05-09-10-49-56_6,21
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame2,2016-05-11,cross_date,true,bonirob_2016-05-11-10-36-32_5,2
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame3,2016-05-11,cross_date,true,bonirob_2016-05-11-10-36-32_5,3
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame4,2016-05-11,cross_date,true,bonirob_2016-05-11-10-36-32_5,4
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame5,2016-05-11,cross_date,true,bonirob_2016-05-11-10-36-32_5,5
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame6,2016-05-11,cross_date,true,bonirob_2016-05-11-10-36-32_5,6
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame7,2016-05-11,cross_date,true,bonirob_2016-05-11-10-36-32_5,7
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame8,2016-05-11,cross_date,true,bonirob_2016-05-11-10-36-32_5,8
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame9,2016-05-11,cross_date,true,bonirob_2016-05-11-10-36-32_5,9
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame10,2016-05-11,cross_date,true,bonirob_2016-05-11-10-36-32_5,10
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame11,2016-05-11,cross_date,true,bonirob_2016-05-11-10-36-32_5,11
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame12,2016-05-11,cross_date,true,bonirob_2016-05-11-10-36-32_5,12
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame13,2016-05-11,cross_date,true,bonirob_2016-05-11-10-36-32_5,13
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame14,2016-05-11,cross_date,true,bonirob_2016-05-11-10-36-32_5,14
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame15,2016-05-11,cross_date,true,bonirob_2016-05-11-10-36-32_5,15
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame16,2016-05-11,cross_date,true,bonirob_2016-05-11-10-36-32_5,16
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame17,2016-05-11,cross_date,true,bonirob_2016-05-11-10-36-32_5,17
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame18,2016-05-11,cross_date,true,bonirob_2016-05-11-10-36-32_5,18
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame19,2016-05-11,cross_date,true,bonirob_2016-05-11-10-36-32_5,19
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame20,2016-05-11,cross_date,true,bonirob_2016-05-11-10-36-32_5,20
2016-05-11__bonirob_2016-05-11-10-36-32_5_frame21,2016-05-11,cross_date,true,bonirob_2016-05-11-10-36-32_5,21
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame0,2016-05-13,cross_date,true,bonirob_2016-05-13-11-50-19_2,0
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame1,2016-05-13,cross_date,true,bonirob_2016-05-13-11-50-19_2,1
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame2,2016-05-13,cross_date,true,bonirob_2016-05-13-11-50-19_2,2
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame3,2016-05-13,cross_date,true,bonirob_2016-05-13-11-50-19_2,3
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame4,2016-05-13,cross_date,true,bonirob_2016-05-13-11-50-19_2,4
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame5,2016-05-13,cross_date,true,bonirob_2016-05-13-11-50-19_2,5
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame6,2016-05-13,cross_date,true,bonirob_2016-05-13-11-50-19_2,6
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame7,2016-05-13,cross_date,true,bonirob_2016-05-13-11-50-19_2,7
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame8,2016-05-13,cross_date,true,bonirob_2016-05-13-11-50-19_2,8
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame9,2016-05-13,cross_date,true,bonirob_2016-05-13-11-50-19_2,9
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame10,2016-05-13,cross_date,true,bonirob_2016-05-13-11-50-19_2,10
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame11,2016-05-13,cross_date,true,bonirob_2016-05-13-11-50-19_2,11
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame12,2016-05-13,cross_date,true,bonirob_2016-05-13-11-50-19_2,12
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame13,2016-05-13,cross_date,true,bonirob_2016-05-13-11-50-19_2,13
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame14,2016-05-13,cross_date,true,bonirob_2016-05-13-11-50-19_2,14
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame15,2016-05-13,cross_date,true,bonirob_2016-05-13-11-50-19_2,15
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame16,2016-05-13,cross_date,true,bonirob_2016-05-13-11-50-19_2,16
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame17,2016-05-13,cross_date,true,bonirob_2016-05-13-11-50-19_2,17
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame18,2016-05-13,cross_date,true,bonirob_2016-05-13-11-50-19_2,18
2016-05-13__bonirob_2016-05-13-11-50-19_2_frame19,2016-05-13,cross_date,true,bonirob_2016-05-13-11-50-19_2,19
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame2,2016-05-18,cross_date,true,bonirob_2016-05-18-10-59-09_4,2
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame3,2016-05-18,cross_date,true,bonirob_2016-05-18-10-59-09_4,3
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame4,2016-05-18,cross_date,true,bonirob_2016-05-18-10-59-09_4,4
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame5,2016-05-18,cross_date,true,bonirob_2016-05-18-10-59-09_4,5
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame6,2016-05-18,cross_date,true,bonirob_2016-05-18-10-59-09_4,6
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame7,2016-05-18,cross_date,true,bonirob_2016-05-18-10-59-09_4,7
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame8,2016-05-18,cross_date,true,bonirob_2016-05-18-10-59-09_4,8
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame9,2016-05-18,cross_date,true,bonirob_2016-05-18-10-59-09_4,9
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame10,2016-05-18,cross_date,true,bonirob_2016-05-18-10-59-09_4,10
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame11,2016-05-18,cross_date,true,bonirob_2016-05-18-10-59-09_4,11
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame12,2016-05-18,cross_date,true,bonirob_2016-05-18-10-59-09_4,12
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame13,2016-05-18,cross_date,true,bonirob_2016-05-18-10-59-09_4,13
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame14,2016-05-18,cross_date,true,bonirob_2016-05-18-10-59-09_4,14
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame15,2016-05-18,cross_date,true,bonirob_2016-05-18-10-59-09_4,15
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame16,2016-05-18,cross_date,true,bonirob_2016-05-18-10-59-09_4,16
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame17,2016-05-18,cross_date,true,bonirob_2016-05-18-10-59-09_4,17
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame18,2016-05-18,cross_date,true,bonirob_2016-05-18-10-59-09_4,18
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame19,2016-05-18,cross_date,true,bonirob_2016-05-18-10-59-09_4,19
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame20,2016-05-18,cross_date,true,bonirob_2016-05-18-10-59-09_4,20
2016-05-18__bonirob_2016-05-18-10-59-09_4_frame21,2016-05-18,cross_date,true,bonirob_2016-05-18-10-59-09_4,21
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame23,2016-05-23,in_domain_reference,false,bonirob_2016-05-23-10-37-10_0,23
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame28,2016-05-23,in_domain_reference,false,bonirob_2016-05-23-10-37-10_0,28
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame30,2016-05-23,in_domain_reference,false,bonirob_2016-05-23-10-37-10_0,30
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame31,2016-05-23,in_domain_reference,false,bonirob_2016-05-23-10-37-10_0,31
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame139,2016-05-23,in_domain_reference,false,bonirob_2016-05-23-10-37-10_0,139
2016-05-27___2016-05-27-10-26-48_5_frame23,2016-05-27,cross_date,true,_2016-05-27-10-26-48_5,23
2016-05-27___2016-05-27-10-26-48_5_frame24,2016-05-27,cross_date,true,_2016-05-27-10-26-48_5,24
2016-05-27___2016-05-27-10-26-48_5_frame25,2016-05-27,cross_date,true,_2016-05-27-10-26-48_5,25
2016-05-27___2016-05-27-10-26-48_5_frame26,2016-05-27,cross_date,true,_2016-05-27-10-26-48_5,26
2016-05-27___2016-05-27-10-26-48_5_frame27,2016-05-27,cross_date,true,_2016-05-27-10-26-48_5,27
2016-05-27___2016-05-27-10-26-48_5_frame28,2016-05-27,cross_date,true,_2016-05-27-10-26-48_5,28
2016-05-27___2016-05-27-10-26-48_5_frame29,2016-05-27,cross_date,true,_2016-05-27-10-26-48_5,29
2016-05-27___2016-05-27-10-26-48_5_frame30,2016-05-27,cross_date,true,_2016-05-27-10-26-48_5,30
2016-05-27___2016-05-27-10-26-48_5_frame31,2016-05-27,cross_date,true,_2016-05-27-10-26-48_5,31
2016-05-27___2016-05-27-10-26-48_5_frame32,2016-05-27,cross_date,true,_2016-05-27-10-26-48_5,32
2016-05-27___2016-05-27-10-26-48_5_frame33,2016-05-27,cross_date,true,_2016-05-27-10-26-48_5,33
2016-05-27___2016-05-27-10-26-48_5_frame34,2016-05-27,cross_date,true,_2016-05-27-10-26-48_5,34
2016-05-27___2016-05-27-10-26-48_5_frame35,2016-05-27,cross_date,true,_2016-05-27-10-26-48_5,35
2016-05-27___2016-05-27-10-26-48_5_frame36,2016-05-27,cross_date,true,_2016-05-27-10-26-48_5,36
2016-05-27___2016-05-27-10-26-48_5_frame37,2016-05-27,cross_date,true,_2016-05-27-10-26-48_5,37
2016-05-27___2016-05-27-10-26-48_5_frame38,2016-05-27,cross_date,true,_2016-05-27-10-26-48_5,38
2016-05-27___2016-05-27-10-26-48_5_frame39,2016-05-27,cross_date,true,_2016-05-27-10-26-48_5,39
2016-05-27___2016-05-27-10-26-48_5_frame40,2016-05-27,cross_date,true,_2016-05-27-10-26-48_5,40
2016-05-27___2016-05-27-10-26-48_5_frame41,2016-05-27,cross_date,true,_2016-05-27-10-26-48_5,41
2016-05-27___2016-05-27-10-26-48_5_frame42,2016-05-27,cross_date,true,_2016-05-27-10-26-48_5,42
